py_ix,ITEM_ID,COLLECTION,NAME,DESCRIPTION,IMAGE,CATEGORY,MINT_USD,BID_USD,ORDER_USD,BUYERS,N_SALES,what,style,theme,color,season,occasion,who,adult flag,Preview
121,0xc63d572084f4a2cce3d2d8b46be375be9f47e510-3,0xc63d572084f4a2cce3d2d8b46be375be9f47e510,8020 White Track Pants,GS Gear - The 8020 DeFi - Learn More - gsgnft.com,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xc63d572084f4a2cce3d2d8b46be375be9f47e510:3/thumbnail,lower_body,14.05198575,0,0,1,1,underwear,sports,sports,white,summer,party,male,no,
122,0xdd3f834c4304557d250479deaf06fa03d8a9413e-2,0xdd3f834c4304557d250479deaf06fa03d8a9413e,Alo Bucket Hat,The Canvas Bucket Hat is here to top off your spring look.,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xdd3f834c4304557d250479deaf06fa03d8a9413e:2/thumbnail,hat,251.2363006,0,0,8,10,hat,fedora,black,black,summer,wedding,person,no,
123,0xc8aa8d482882b0c6e026f19030a6f0f7d93d87cc-0,0xc8aa8d482882b0c6e026f19030a6f0f7d93d87cc,Free to Love Shirt (Multi),In celebration of love for all,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xc8aa8d482882b0c6e026f19030a6f0f7d93d87cc:0/thumbnail,upper_body,0,0,0.7335137802,13,27,t shirt,t shirt,love,white,summer,valentine's day,child,no,
124,0x622926e229e3904f398146f5e44c425b520305c0-0,0x622926e229e3904f398146f5e44c425b520305c0,Bitwax Hoodie (Static Black),Bitwax x The Metaverse Dance Music Association collaboration,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x622926e229e3904f398146f5e44c425b520305c0:0/thumbnail,upper_body,0,6.79333187,3.131520013,3,3,jacket,casual,ghost,black,winter,halloween,skater,no,
125,0x6ebda2f34d9cf5c3b2dbf797045b7b260173465f-0,0x6ebda2f34d9cf5c3b2dbf797045b7b260173465f,Poppy Black Dress,Poppy Black Dress collab of Poppy and Soul Magic,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x6ebda2f34d9cf5c3b2dbf797045b7b260173465f:0/thumbnail,upper_body,30.9066284,6.250963591,8.872815625,10,10,dress,dress,dressy,black and white,summer,party,girl,no,
126,0xe985c8e86ddbbf331301897a89e158e08107c589-0,0xe985c8e86ddbbf331301897a89e158e08107c589,MetaSoccer Player,This wearable can be used to play ICE Poker Arcade.,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xe985c8e86ddbbf331301897a89e158e08107c589:0/thumbnail,upper_body,0,0.5194610609,0,1,1,soccer uniform,soccer,soccer,white,summer,soccer,soccer player,no,
127,0xac13ea1eb7ab78c29d9af77528e6d298970ed206-0,0xac13ea1eb7ab78c29d9af77528e6d298970ed206,Gold Santa Hat,Create using all 6 other color santa hats at Exodus,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xac13ea1eb7ab78c29d9af77528e6d298970ed206:0/thumbnail,hat,0,21.63432792,177.8281862,6,6,hat,top hat,ice cream,yellow,winter,christmas,clown,no,
128,0xf741200a97ed5fe3eda51a7441c39d96144d3edf-3,0xf741200a97ed5fe3eda51a7441c39d96144d3edf,White Energy Puffer Shoes,White energy puffer boots,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xf741200a97ed5fe3eda51a7441c39d96144d3edf:3/thumbnail,feet,23.45829056,0,0,4,4,socks,socks,halloween,white,summer,wedding,female,no,
129,0x26ea2f6a7273a2f28b410406d1c13ff7d4c9a162-1,0x26ea2f6a7273a2f28b410406d1c13ff7d4c9a162,MVFW23 Cap,"Street style, modern look.",https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x26ea2f6a7273a2f28b410406d1c13ff7d4c9a162:1/thumbnail,hat,0,0,1.015876467,6,11,hat,baseball,wwf,black,summer,surfing,surfer,no,
130,0x26f916d0288439d60d6205bee89b063ec5cb93aa-1,0x26f916d0288439d60d6205bee89b063ec5cb93aa,Gôuld Liquid Gold Shirt,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x26f916d0288439d60d6205bee89b063ec5cb93aa:1/thumbnail,upper_body,35.68622474,0,0,2,2,shirt,formal,gold,gold,summer,formal event,man,no,
131,0x37d6fa1df63975056d444f72f268cd7c1251a053-0,0x37d6fa1df63975056d444f72f268cd7c1251a053,Bubble Babes Space Boots,"Bubble air equipped to travel the future, collab with SwivelMeta",https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x37d6fa1df63975056d444f72f268cd7c1251a053:0/thumbnail,lower_body,44.9369174,0,0,1,1,tights,pink,pink,pink,summer,baby shower,female,yes,
132,0x6f7d2533752f265c9d7ff08d8c417345f25f6484-5,0x6f7d2533752f265c9d7ff08d8c417345f25f6484,Estate Intel Hoodie,Estate Intel unisex hoodie,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x6f7d2533752f265c9d7ff08d8c417345f25f6484:5/thumbnail,upper_body,0,0,1.731297884,3,4,jacket,sports,soccer,blue,winter,winter,skier,no,
133,0x52081747423b5768ed3da5690ff9f9181df2ac04-0,0x52081747423b5768ed3da5690ff9f9181df2ac04,Lolli Pop,A fun and flirty expression of IRL Heartwork MVFW23-Spring,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x52081747423b5768ed3da5690ff9f9181df2ac04:0/thumbnail,upper_body,285.7251702,0,0,4,4,lingerie,lingerie,swimsuit,pink,summer,party,model,no,
134,0xea55e8327f2f049cfe3994aacf9ed4e7a807866a-0,0xea55e8327f2f049cfe3994aacf9ed4e7a807866a,Supermind Kay Glow Spike Shoes,Fun cyber spikes bringing party & sporty vibes to your outfit!,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xea55e8327f2f049cfe3994aacf9ed4e7a807866a:0/thumbnail,feet,155.0893436,0,3.955850229,37,54,skateboard,skateboard,skateboarding,gray,summer,summer,skater,no,
135,0xd413d330444ac404f2553f158618dc7e32058dff-0,0xd413d330444ac404f2553f158618dc7e32058dff,The 5 elements 'fire' gown dress,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xd413d330444ac404f2553f158618dc7e32058dff:0/thumbnail,upper_body,58.69129632,17.35744688,0,2,2,guitar,heart,music,red,summer,christmas,chef,no,
136,0x9e6d35de1fb562b1b602eccf73d74486788546ae-0,0x9e6d35de1fb562b1b602eccf73d74486788546ae,Golfcraft - Dr. Par coat,Cosplay as Dr. Par with this amazing coat,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x9e6d35de1fb562b1b602eccf73d74486788546ae:0/thumbnail,upper_body,0,0.5440754723,0,1,1,suit,suit,church,white,winter,wedding,chef,no,
137,0xa42b1dc40ae5585ae749a536a163bfc8238b3dd4-2,0xa42b1dc40ae5585ae749a536a163bfc8238b3dd4,Basketball Wallabee Boot,,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xa42b1dc40ae5585ae749a536a163bfc8238b3dd4:2/thumbnail,feet,0,0,2.563852936,5,11,shoes,flats,halloween,red,summer,party,woman,no,
138,0x3965a397c466e6fe7da2b456d70ac749d6e5a812-0,0x3965a397c466e6fe7da2b456d70ac749d6e5a812,Ant-N-Jacket,,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x3965a397c466e6fe7da2b456d70ac749d6e5a812:0/thumbnail,upper_body,6.014583502,0,0,1,1,jacket,biker,alien,black,summer,birthday,person,no,
139,0x3c4129ea70da0c47db4cc681c81c1d73c334ca5e-0,0x3c4129ea70da0c47db4cc681c81c1d73c334ca5e,Pink Fluffy Heels,Step into the metaverse with your best foot forward.,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x3c4129ea70da0c47db4cc681c81c1d73c334ca5e:0/thumbnail,feet,137.7242175,0,0,14,14,high heels,high heels,pink,pink,summer,party,girl,no,
140,0x7b675790e80af8c9ed6d0c30064baf4f8cd64612-0,0x7b675790e80af8c9ed6d0c30064baf4f8cd64612,Raisin,Raisin by ManaD. Light outfit for the harvest of Vendémiaire,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x7b675790e80af8c9ed6d0c30064baf4f8cd64612:0/thumbnail,upper_body,33.32477073,0,0,8,8,dress,mini,dress,pink,summer,summer,woman,no,
141,0xd69a8bba538d171433c83327ace7f729bccc4adf-1,0xd69a8bba538d171433c83327ace7f729bccc4adf,Forbes Aristocrat,Be effortlessly chic in the Forbes pink suit and sweater.,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xd69a8bba538d171433c83327ace7f729bccc4adf:1/thumbnail,upper_body,0,0,1.830051228,13,14,shirt,sports,football,white,summer,birthday,skater,no,
142,0xee419359bf6cc73d2262e96f4b6b007ed1bad9d6-0,0xee419359bf6cc73d2262e96f4b6b007ed1bad9d6,CyberBomber Mikoshi // FBRN,Original CyberBomber // FBRN // Flex your collection,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xee419359bf6cc73d2262e96f4b6b007ed1bad9d6:0/thumbnail,upper_body,71.36033855,0,11.21221333,4,5,vest,vest,punk,blue,summer,party,girl,no,
143,0x828f5e02a1b26c5736bcf6303caecbafec3c3a7c-0,0x828f5e02a1b26c5736bcf6303caecbafec3c3a7c,MUA x MetaMineS2 Recurve,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x828f5e02a1b26c5736bcf6303caecbafec3c3a7c:0/thumbnail,feet,0,0,24.11707911,3,4,snowboard,crocs,skateboarding,black,summer,skiing,skier,no,
144,0xeeda08679cca8591bb2bdf35278830fbdc1b94f9-2,0xeeda08679cca8591bb2bdf35278830fbdc1b94f9,Silly Duo (East) by ExtraVersion,Embrace your friendship with bundled emotes and wearables! RGB,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xeeda08679cca8591bb2bdf35278830fbdc1b94f9:2/thumbnail,upper_body,10.64020628,0,0,5,5,t shirt,casual,t shirt,black,summer,birthday,skater,no,
145,0x9b44629ad39b417801441040c586b3debdbd1d04-9,0x9b44629ad39b417801441040c586b3debdbd1d04,Golfcraft - Horus Upperbody,Become an ancient minigolf divinity!,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x9b44629ad39b417801441040c586b3debdbd1d04:9/thumbnail,upper_body,0,11.65388855,0,3,3,armor,armor,superhero,black and yellow,summer,halloween,superhero,no,
146,0x64add018b871ad6f6c7c5f8f882f8892c0ca94b4-3,0x64add018b871ad6f6c7c5f8f882f8892c0ca94b4,Blue feather hat,Bit better have my money,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x64add018b871ad6f6c7c5f8f882f8892c0ca94b4:3/thumbnail,hat,12.87032082,1.093411128,23.20171193,24,59,hat,top hat,halloween,blue,summer,graduation,person,no,
147,0x2f7e997674b58ae2fdcbf6f2adad3288de78db17-0,0x2f7e997674b58ae2fdcbf6f2adad3288de78db17,Cherry Sundae  Camisole,Denim shorts with crop top camisole for daytime strolls,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x2f7e997674b58ae2fdcbf6f2adad3288de78db17:0/thumbnail,upper_body,49.65501896,0,1.091412146,19,19,bra,sports,bikini,pink,summer,party,female,no,
148,0xbdbee960fb7ce6267c467665dea046d0a4849cda-0,0xbdbee960fb7ce6267c467665dea046d0a4849cda,Adidas Virtual Gear MVFW23,Adidas DCL Wallrunner for MVFW23,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xbdbee960fb7ce6267c467665dea046d0a4849cda:0/thumbnail,upper_body,0,3.059783673,86.32357396,56,116,kimono,dress,christmas,red and white,winter,christmas,child,no,
149,0x64add018b871ad6f6c7c5f8f882f8892c0ca94b4-2,0x64add018b871ad6f6c7c5f8f882f8892c0ca94b4,Red Feather Hat,Bit better have my money.,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x64add018b871ad6f6c7c5f8f882f8892c0ca94b4:2/thumbnail,hat,23.8515048,5.273196212,22.4333902,18,53,hat,top hat,top hat,red,summer,party,person,no,
150,0xee0bf3c1f99ad2d75f3c71b950f49baf85da62e3-0,0xee0bf3c1f99ad2d75f3c71b950f49baf85da62e3,Apes 3D Cyber Cap,Apes 3D Metaverse Merch,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xee0bf3c1f99ad2d75f3c71b950f49baf85da62e3:0/thumbnail,hat,0,0,8.566772076,4,4,hat,baseball,baseball,black and white,summer,birthday,baseball player,no,
151,0x67e365f217cfe172b13a40beac72b917bd0b8a36-6,0x67e365f217cfe172b13a40beac72b917bd0b8a36,Capsule White feather Top,,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x67e365f217cfe172b13a40beac72b917bd0b8a36:6/thumbnail,upper_body,63.98174517,0,0,11,11,jacket,dress,dog,white,winter,christmas,person,no,
152,0x596b709e4ed2d193cc47f95319569d4d0296d359-0,0x596b709e4ed2d193cc47f95319569d4d0296d359,MetaPartyJacket,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x596b709e4ed2d193cc47f95319569d4d0296d359:0/thumbnail,upper_body,0,1.131886531,0,1,3,jacket,dress,octopus,blue,summer,party,skier,no,
153,0xcbd17d94f5be12fff27566c23888d6936b8e70b8-4,0xcbd17d94f5be12fff27566c23888d6936b8e70b8,WZ Night Stalker Guardian Torso,Night Stalker Guardians protect the streets after curfew,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xcbd17d94f5be12fff27566c23888d6936b8e70b8:4/thumbnail,upper_body,0,4.28984891,49.31834133,8,9,costume,armor,ghost,yellow,summer,halloween,gamer,no,
154,0x768c1027b1f1a452ecb8dab017a1e630a75f0d30-2,0x768c1027b1f1a452ecb8dab017a1e630a75f0d30,Illusionist Suit,Tricks are better that treat,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x768c1027b1f1a452ecb8dab017a1e630a75f0d30:2/thumbnail,upper_body,0,0,5.539581517,12,45,suit,costume,superhero,purple,summer,halloween,superhero,no,
155,0x1cf028020e8d77df0f4b934a308f67e6f11333ff-4,0x1cf028020e8d77df0f4b934a308f67e6f11333ff,Ben Bridge Suit Jacket,Ben Bridge diamond studied suit jacket,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x1cf028020e8d77df0f4b934a308f67e6f11333ff:4/thumbnail,upper_body,0,0,8.89597415,13,17,jacket,fancy,fancy,white,winter,wedding,businessman,no,
156,0x8c0f9dc865ff9476880abcd0452572840fe99f32-0,0x8c0f9dc865ff9476880abcd0452572840fe99f32,Texturing male shirt,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x8c0f9dc865ff9476880abcd0452572840fe99f32:0/thumbnail,upper_body,0,0,0.7423850813,2,4,t shirt,t shirt,t shirt,black,summer,party,skater,no,
157,0x64add018b871ad6f6c7c5f8f882f8892c0ca94b4-5,0x64add018b871ad6f6c7c5f8f882f8892c0ca94b4,Green Feather Hat,Bit better have my money,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x64add018b871ad6f6c7c5f8f882f8892c0ca94b4:5/thumbnail,hat,9.54060192,1.012744001,14.84946519,21,47,hat,top hat,halloween,green,summer,birthday,person,no,
158,0xaab00c2d1fc916138216bcc79b2ecc44a35af0cd-1,0xaab00c2d1fc916138216bcc79b2ecc44a35af0cd,KingX | MetaGalaxy Sweat,MetaGalaxy Collection MetaGalaxy Sweat by KingX,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xaab00c2d1fc916138216bcc79b2ecc44a35af0cd:1/thumbnail,upper_body,207.5008447,0,0,7,7,ski suit,steampunk,iron maiden,black,winter,skiing,skier,no,
159,0x378cd34662fcd2311743fad74b5a196ad0cb2544-0,0x378cd34662fcd2311743fad74b5a196ad0cb2544,WZ S2 Nebula Sneakers,Glowing sneakers with traces of stardust woven into the fabric,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x378cd34662fcd2311743fad74b5a196ad0cb2544:0/thumbnail,feet,0,0.5639794235,12.47112249,12,12,sneakers,sneakers,star wars,black and white,summer,halloween,skater,no,
160,0xcb029e92a65d5a6d98212edaa8013e5e460de12c-3,0xcb029e92a65d5a6d98212edaa8013e5e460de12c,Bolly Police Uniform (Top),Metakey x Bollycoin - Into the Bollyverse,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xcb029e92a65d5a6d98212edaa8013e5e460de12c:3/thumbnail,upper_body,0,9.554611691,3.343786279,2,7,uniform,military,military,white,summer,party,military,no,
161,0xc359af35395001c0044eea72e27d2de12cdb88dc-3,0xc359af35395001c0044eea72e27d2de12cdb88dc,Soundr MVMF 2022 - MDE,NoMusicOnADeadPlanet! See more www.musicdeclares.net,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xc359af35395001c0044eea72e27d2de12cdb88dc:3/thumbnail,upper_body,65.04818601,0,0,9,9,teddy bear,punk,disco,purple,summer,christmas,child,no,
162,0x1f32da76ce7e4fe7818ae7fefb29eedde35e6db1-0,0x1f32da76ce7e4fe7818ae7fefb29eedde35e6db1,Punk Shorts With Ribbons,Dress your avatar in style to tour DCL,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x1f32da76ce7e4fe7818ae7fefb29eedde35e6db1:0/thumbnail,lower_body,52.59127119,6.108324964,95.09524612,58,73,leggings,leggings,pink,black and pink,summer,party,skater,no,
163,0x97b50485b2a9ed23cfe1bcc7bac86d07509141c3-0,0x97b50485b2a9ed23cfe1bcc7bac86d07509141c3,Zip-Up Leather Bodysuit,"Pride month 2022 series, proudly produced by Avatar!🌈",https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x97b50485b2a9ed23cfe1bcc7bac86d07509141c3:0/thumbnail,upper_body,196.5825248,14.2786512,13.18149577,12,14,suit,fishnet,cat in hat,black,summer,party,mannequin,no,
164,0x9ecfc66973ae855514cd244bc5a65f512a43f642-2,0x9ecfc66973ae855514cd244bc5a65f512a43f642,CRYPTO PANTS,ETHER 004 DCL NFT COLLECTION,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x9ecfc66973ae855514cd244bc5a65f512a43f642:2/thumbnail,lower_body,22.79712345,0,0,3,3,pants,mosaic,abstract,white,summer,party,woman,no,
165,0xf67607abf4a68131d8673a239de839b1041299a4-0,0xf67607abf4a68131d8673a239de839b1041299a4,Jaw Breakin' Retro Boots,80's fashion leg warmers over thigh high socks & tie dye boots.,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xf67607abf4a68131d8673a239de839b1041299a4:0/thumbnail,lower_body,55.32139029,0,0,6,6,tights,pantyhose,pink,pink,summer,party,skater,yes,
166,0x6d3c6b5c5e5907a3b15950d744bf03836aadd45f-1,0x6d3c6b5c5e5907a3b15950d744bf03836aadd45f,Sequin Gold on Gold Bodysuit,Sequin Gold on Gold Bodysuit @metajewels_io,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x6d3c6b5c5e5907a3b15950d744bf03836aadd45f:1/thumbnail,upper_body,382.714827,29.18897926,0,8,9,dress,dress,dress up,brown,summer,party,mannequin,yes,
167,0xfa106f341ffe7842d2b06b5d31c62bd613dca395-1,0xfa106f341ffe7842d2b06b5d31c62bd613dca395,Luv Dress x Vogue Singapore,,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xfa106f341ffe7842d2b06b5d31c62bd613dca395:1/thumbnail,upper_body,32.66899699,0,0,18,19,dress,flapper dress,dress,red,summer,halloween,dancer,yes,
168,0xe0add8ff2b43f1859fe8d79df279706b0da2e985-1,0xe0add8ff2b43f1859fe8d79df279706b0da2e985,Abstract Printed Lady Tennis Set,Original Penguin Abstract Printed Ladies Tennis Set,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xe0add8ff2b43f1859fe8d79df279706b0da2e985:1/thumbnail,upper_body,0,12.69164525,74.38232878,28,60,dress,skirt,abstract,blue,summer,summer,girl,no,
169,0x26ea2f6a7273a2f28b410406d1c13ff7d4c9a162-6,0x26ea2f6a7273a2f28b410406d1c13ff7d4c9a162,MVFW23 Neo T Shirt,"Over Size, minimalist, comfortable fit.",https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x26ea2f6a7273a2f28b410406d1c13ff7d4c9a162:6/thumbnail,upper_body,0,0,0.8699470964,6,11,t shirt,t shirt,black,black,summer,running,athlete,no,
170,0xe9c47ebf276629fa53b4e2a95131425604ab5112-1,0xe9c47ebf276629fa53b4e2a95131425604ab5112,Wizard Hat of Defence,Wizard Hat with Defence Bonus in Wilderness P2E,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xe9c47ebf276629fa53b4e2a95131425604ab5112:1/thumbnail,hat,125.8647387,0,0,1,1,hat,crown,snow,white,winter,christmas,skier,no,
171,0x23c76931bf4de03f04942496616699870b4c8b1f-0,0x23c76931bf4de03f04942496616699870b4c8b1f,Animal Print Shoes,Colourful Leopard Print...,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x23c76931bf4de03f04942496616699870b4c8b1f:0/thumbnail,feet,65.91213044,0,0,3,3,boots,leopard,animal print,leopard print,summer,christmas,woman,no,
172,0x122756ac93d34e96dd9f9804d63d883337860a58-4,0x122756ac93d34e96dd9f9804d63d883337860a58,Nouns Shoes 006,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x122756ac93d34e96dd9f9804d63d883337860a58:4/thumbnail,feet,253.9928245,0,0,1,1,neon,high tops,star wars,black,summer,christmas,skater,no,
173,0x9c05e966d92c782e82cd3dacc90b3541fb7bd000-0,0x9c05e966d92c782e82cd3dacc90b3541fb7bd000,Ombré Sweatshirt,Keeps you warm and feeling good year round.,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x9c05e966d92c782e82cd3dacc90b3541fb7bd000:0/thumbnail,upper_body,15.83724025,0,0,2,2,bird,bird,bird,gray,summer,party,person,no,
174,0xb84538a881262817892b0a9d223cb62f77b27385-2,0xb84538a881262817892b0a9d223cb62f77b27385,MCMC Motorcycle Boots,Get some traction with these leather ankle high motorcycle boots,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xb84538a881262817892b0a9d223cb62f77b27385:2/thumbnail,feet,133.1521826,197.3878246,170.8291324,17,21,dress shoes,dress,leather,black,summer,formal,man,no,
175,0x0b34d6ec7f0468aa199025c176ed7613575923d0-4,0x0b34d6ec7f0468aa199025c176ed7613575923d0,GamesOnChain - Always Secure,,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x0b34d6ec7f0468aa199025c176ed7613575923d0:4/thumbnail,lower_body,133.2561654,0,31.82198594,4,4,wing,wing,wings,black and blue,summer,halloween,surfer,no,
176,0xc70ce5be8aa02e02bb3ef070395b37e24d929ea5-1,0xc70ce5be8aa02e02bb3ef070395b37e24d929ea5,High Elder Bucket Hat,Earn the respect of intergalactic elders. Female hair by Doki,https://peer.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xc70ce5be8aa02e02bb3ef070395b37e24d929ea5:1/thumbnail,hat,213.1842221,57.78384346,0,9,11,hat,fedora,rock band,gray,summer,summer,artist,yes,
177,0x2113853d20f7b6d08fa756c294fb6f36e9108b22-1,0x2113853d20f7b6d08fa756c294fb6f36e9108b22,Sand Rogue Gilded Armor,Trimmed and Lacquered gold plated armor,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x2113853d20f7b6d08fa756c294fb6f36e9108b22:1/thumbnail,upper_body,0,16.07366325,0,1,1,crossdressing,crossdressing,body,black,summer,halloween,pilot,no,
178,0x96ed0ec3f2c4f4254375d0064c08f359ec98c3f8-0,0x96ed0ec3f2c4f4254375d0064c08f359ec98c3f8,RAMP Network x NFT.NYC - Hoodie,Ramp Network NFT.NYC ‘22 with Brave Browser & Polygonal Mind,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x96ed0ec3f2c4f4254375d0064c08f359ec98c3f8:0/thumbnail,upper_body,0,4.902551822,7.52039535,2,2,wetsuit,wetsuit,body,purple,winter,surfing,surfer,no,
179,0xaca87498d8eb13c1209373bf5bfcf98a55c24b3a-1,0xaca87498d8eb13c1209373bf5bfcf98a55c24b3a,Artnet Hat,Artnet Hat,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xaca87498d8eb13c1209373bf5bfcf98a55c24b3a:1/thumbnail,hat,0,0,0.419206889,5,7,hat,baseball,orange,orange,summer,birthday,baseball player,no,
180,0x125d5119972bb6b045b52781de4e601942278a45-0,0x125d5119972bb6b045b52781de4e601942278a45,Vertex Series One Jacket,VERTEX Art Meets Music - Series One Wearable by srJH & StoneyEye,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x125d5119972bb6b045b52781de4e601942278a45:0/thumbnail,upper_body,0,2.009657496,0,1,1,jacket,jacket,rock and roll,green,winter,halloween,kid,no,
181,0x64f25e44de2aa7d940c6d40c4ad9f21d8b19877f-1,0x64f25e44de2aa7d940c6d40c4ad9f21d8b19877f,Springfield Hooded Down Coat,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x64f25e44de2aa7d940c6d40c4ad9f21d8b19877f:1/thumbnail,upper_body,21.50100052,0,0,5,5,jacket,steampunk,neon,white,winter,christmas,person,no,
182,0x6d3fb99676aa7d7b355f9f84112415ac86c720ec-0,0x6d3fb99676aa7d7b355f9f84112415ac86c720ec,8SIAN Kimono,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x6d3fb99676aa7d7b355f9f84112415ac86c720ec:0/thumbnail,upper_body,0,0,43.22895877,36,55,kimono,japanese,japanese,blue,summer,halloween,asian,no,
183,0x35d9d080e67aa1fbfa5987fc322e7be72c6edfe1-0,0x35d9d080e67aa1fbfa5987fc322e7be72c6edfe1,LaLigaLand Shorts,,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0x35d9d080e67aa1fbfa5987fc322e7be72c6edfe1:0/thumbnail,lower_body,0,0,4.833555858,10,22,paper,paper,kite,white,summer,birthday,chef,no,
184,0xd31cef341df598afe2acb45590f85a40c4619083-0,0xd31cef341df598afe2acb45590f85a40c4619083,THE ARCHIE - BLACK,multi-pocket all terrain outerwear,https://peer-lb.decentraland.org/lambdas/collections/contents/urn:decentraland:matic:collections-v2:0xd31cef341df598afe2acb45590f85a40c4619083:0/thumbnail,upper_body,0,3.677429965,0,2,2,gun,military,army,black,summer,party,soldier,no,
